,Sentence,Hate-Speech
27515,కిరణ్ స్టూడియోస్ నిర్మించిన ఓ రొమాంటిక్ థ్రిల్లరే -సెవెన్‌కు డైరెక్టర్,no
13146,"వేదాల‌ను అంద‌రికీ చేరువ చేసేందుకు వీలుగా భార‌తీయ భాష‌ల్లోకి అనువ‌దించాల‌ని సూచించారు.
",no
21901,రాజ్‌బహుదూర్ గౌర్ శతజయంతిని జూలై 25న వేడుకగా నిర్వహించాలని సీపీఐ రాష్ట్ర కార్యదర్శి చాడ వెంకటరెడ్డి పేర్కొన్నారు,no
34455,ఫైనల్‌ గా చూసుకుంటే కాలాకు పరిస్థితులు ఏ మాత్రం అనుగుణంగా లేవు.,no
27097,చివరిగా ఈ సస్పెన్స్‌కి తెరదించుతూ స్టార్ మా ఓ స్టార్ హీరోని బిగ్‌బాస్ 3 హోస్ట్‌గా నియమించినట్లు సమాచారం,no
33312,ప్రస్తుతం సెట్స్‌ మీద ఉన్న సినిమాల్లో మహేష్‌ బాబు కూడా కాలేజ్‌ స్టూడెంట్‌ పాత్రలో నటిస్తున్న సంగతి తెలిసిందే.,no
28557,"అయితే ఇద్దరు వ్యక్తుల మధ్య ఒక్క పూటలో జరిగే సంఘటనలు నేపథ్యంలో కథను తయారు చేసుకున్న దర్శకుడు, కథనాన్ని కాస్త నెమ్మదిగా నడిపించాడు.
",no
27345,కలిసి పనిచేయడం హ్యాపీ అనిపించింది,no
5524,"ఆఖరి లీగ్‌ మ్యాచ్‌ ఓటమి చెన్నైకు మేలుకొలుపే.
",no
7077,"64 కేజీల కేటగిరీలో వర్సిటీకి చెందిన లిఫ్టర్‌ జి లలిత స్నాచ్‌లో 89, క్లీన్‌ అండ్‌ జర్క్‌లో 112 కేజీలతో మొత్తం 201 కేజీల బరువును ఎత్తి బంగారు పతకాన్ని సాధించించింది.
",no
8870,"మీడియాతో మాట్లాడుతూ ‘మేం కచ్చితంగా 3-0తో గెలుస్తాం.
",no
31166,తెలుగు వెర్షన్‌కు వచ్చేసరికి హీరోయిన్‌ పేరును టైటిల్‌గా నిర్ణయించినట్టు సమాచారం.,no
14681,"ఈ క్రమంలో మంగళవారం నుంచి దేశవ్యాప్తంగా ఉన్న ముస్లింలు రంజాన్ ఉపవాసాలు ప్రారంభించాలని పిలుపునిచ్చారు.
",no
33219,మళ్ళీ కొడుకుతో రెడీ.,no
20648,"సీఎం ప్రతిష్ఠకు భంగం కలిగేలా, ఆయన కుమార్తె కవిత వ్యక్తిత్వాన్ని కించపరిచేలా ఫేస్‌బుక్‌లో వ్యాఖ్యానాలు ఉన్నాయంటూ తెరాస విద్యార్థి విభాగం అధ్యక్షుడు గెల్లు శ్రీనివాసయాదవ్‌  సైబర్‌క్రైమ్‌ పోలీసులకు ఫిర్యాదు చేశారు",no
17336,"మోదీ పర్యటన కోసం ఆంధ్రప్రదేశ్ అధికారులు కట్టుదిట్టమైన భద్రతా ఏర్పాటు చేయనున్నారు.
",no
9646,ప్రపంచ వెయిట్‌లిఫ్టింగ్‌ సెప్టెంబరు 16-25 థాయ్‌లాండ్‌లో,no
26026,ఈ యేడాది  చివ‌ర్లో ఈ చిత్రాన్ని విడుద‌ల చేస్తారు,no
27808,ఫ్లాట్‌ నెరేషన్‌తో మొదలైన కాసేపటికి బాగా విసిగించేలా తయారవుతుంది,no
1089,దీంతో ఆదివారం మొహాలీ వేదికగా జరుగనున్న నాలుగో వన్డే రెండు జట్లకు కీలకంగా మారనుంది.,no
5023,"క్రికెట్‌ అంటే కేవలం ఆట మాత్రమే కాదు,ఇదో భావోద్వేగం అని పేర్కొంటున్నారు.
",no
17962,"అవినీతి రహిత సమాజం, సమ సమాజ స్థాపన నిర్మాణం కోసం పవన్ కళ్యాణ్ పరితపించేవారని  అయితే అధికారాన్ని సాధించే దిశలో పవన్ కళ్యాణ్ విజయవంతం కాలేదన్నారు.
",no
2187,అయితే ఇప్పటి వరకూ పటిష్ట జట్టును ఎదుర్కోంది లేదు.,no
7478,"అంతకుముందు గంగూలీ, సచిన్‌ 21 శతక భాగస్వామ్యాలు చేయగా వారి తర్వాతి స్థానంలో ఆడం గిల్‌క్రిస్ట్‌, మాథ్యూహెడెన్‌ 16 శతక భాగస్వామ్యాలు చేశారు.
",no
24473,రాష్ట్ర ప్రయోజనాల విషయం తాము ఎప్పుడూ రాజీపడలేదన్నారు,no
1921,అయితే అతడికి ఇంకా చికిత్స కొనసాగుతోంది.,no
19793,లావాదేవీలకు సంబంధించి ఏవైనా వివాదాలు తలెత్తితే వాటి పరిష్కార యంత్రాంగం కూడా ఆన్‌లైన్‌లోనే ఉండాలని సూచించింది,no
1832,ఇంగ్లండ్‌ నిర్దేశించిన 419 పరుగుల భారీ లక్ష్య ఛేదనలో వెస్టిండీస్‌ స్టార్‌ క్రికెటర్‌ క్రిస్‌ గేల్‌ మరో విధ్వంసకర ఇన్నింగ్స్‌ ఆడాడు.,no
9275,"తొలి సెట్‌ను ధీటుగానే ఆరంభించిన శ్రీకాంత్‌ చివరికి 21-16తో కోల్పోయినా రెండో సెట్‌లో హోరాహోరీ పోరు సాగింది.
",no
14613,"ఉత్తరాంధ్ర, ఉభయ గోదావరి, కృష్ణా-గుంటూరు, ప్రకాశం-నెల్లూరు-చిత్తూరు, మిగతా సీమ జిల్లాలకు ఈ మండళ్లు ఉంటాయని సమాచారం.
",no
5037,"శ్రీలంక జట్టు ప్రత్యర్థుల చేతుల్లో చిత్తుగా ఓడటంతో పెద్ద ఎత్తున విమర్శలు చెలరేగడంతో గతేడాది జయసూర్య నేత_x005F_x007f_త్వంలోని సెలక్షన్‌ ప్యానెల్‌ రాజీనామా చేసిన సంగతి తెలిసిందే.
",yes
4254,అయితే దీనిపై కొందరు నెటిజన్లు సానుకూలంగా స్పందించగా కొందరు విభేదిస్తున్నారు.,no
20595,"యువతితో పాటు అయిదుగురు యువకులపై అపహరణ, హత్యాయత్నం కేసు నమోదు చేశారు",no
14235,"నిన్నటి వరకు ఇదే డీఎస్పీలకు మాధవ్ సెల్యూట్ చేశాడు.
",no
24055,"ఆస‌క్తిగ‌ల అభ్య‌ర్ధులు త‌మ ద‌ర‌ఖాస్తుల‌ను జూలై 15వ తేదీలోగా స్టేట్ ఇన్‌స్టిట్యూట్ ఆఫ్ హోట‌ల్ మేనేజ్‌మెంట్‌, క్యాట‌రింగ్ టెక్నాల‌జీ అండ్ అప్లైడ్ న్యూట్రిష‌న్‌, ఎస్‌ వి జూపార్క్ స‌మీపంలో, ఏ పి టూరిజం ట్రాన్స్‌పోర్టు యూనిట్ ప్ర‌క్క‌న‌, పేరూరు(గ్రామం), పెరుమాళ్ల‌ప‌ల్లి(పోస్ట్‌),తిరుప‌తి 517505, చిత్తూరు జిల్లా, ఆంధ్ర‌ప్ర‌దేశ్ చిరునామాకు పంపించాల‌ని సూచించారు",no
13331,"చంద్రగిరి నియోజకవర్గానికి సంబంధించిన పోస్టల్ బ్యాలెట్ల కౌంటింగ్ మొదలుకాగానే, ఇరు పార్టీల ఏజంట్లూ బాహాబాహీకి దిగారు.
",no
7189,"మా బౌలర్ల ప్రదర్శన బాగుంది.
",no
16749,"అయితే ఓ నెల రోజుల త‌ర్వాత జ‌డ్జి బీపీ సింగ్ అకౌంట్ హ్యాక్ అయిన‌ట్లు లోధాకు మెయిల్ వ‌చ్చింది.
",no
27377,"కాకపోతే, ఈ చిత్రానికి ప్రేక్షకుల ప్రేమ, ఆదరణం మేం ఊహించిన దానికంటే ఎక్కువే దక్కుతుందన్న నమ్మకంతో ఉన్నాం అంటోంది కత్రినా",no
31899,"అల్లు అర్జున్‌, కాజల్‌, శ్రుతిహాసన్‌ ప్రధాన తారాగణంగా రూపొందిన ఈ సినిమా మంచి టాక్‌ అందుకుంది.",no
5170,"నాలుగో ఓవర్‌లో 20, ఐదో ఓవర్‌లో 22 పరుగులు చేశారు.
",no
30621,"1991 అక్టోబర్‌ 25న షారుక్‌, గౌరీ వివాహ బంధంతో ఒక్కటయ్యారు.",no
4962,"కెప్టెన్‌ మంధానా (58), మిథాలీ (30 నాటౌట్‌) మినహా ఎవరూ సహకారం అందించపోవడంతో భారత్‌ లక్ష్యానిక రెండు పరుగుల దూరంలో నిలిచిపోయింది.
",no
15543,"అతి తీవ్ర తుపాను నుంచి పెను తుపానుగా మారి ఒడిశా వైపు దూసుకుపోతోంది.
",no
25339,ఈ చిత్రానికి ర‌ణ రంగం అనే పేరు ఖ‌రారు చేశారు,no
30714,”ఓకే ఈ క్యూటీని నేను కిడ్నాప్‌ చేసేస్తున్నాను” అంటూ ఫన్నీగా కామెంట్‌ పెట్టింది.,no
20524,"తిరునెల్వేలి జిల్లా పాళెయంకోట్టైకు చెందిన రాజశేఖర్‌ 35 తన కుమార్తె తనిగ 3, బంధువులు మురుగన్‌ 58, నిరంజన్‌ కుమార్‌ 28, నటరాజన్‌లతో కలిసి మంగళవారం కారులో అడైక్కలపట్టణం అనే గ్రామానికి బయలుదేరారు",no
8706,"అయితే, ప్రపంచకప్‌ సమీపిస్తున్న నేపథ్యంలో ప్రపంచ కప్‌ జట్టుకు ఎంపికైన విదేశీ ఆటగాళ్లకు ఆయా దేశాల నుంచి పిలుపులొచ్చాయి.
",no
3934,అందుకే కఠినంగా మారా.,no
19519,2013-14 నుంచి 2017-18 వరకు మధ్యకాలంలో సంస్థ ఆర్థిక స్థితిగతులను సవిూక్షిస్తే చాలా అవకతవకలు జరిగినట్లు గుర్తించినట్లు తెలిపారు,no
30346,అలా ఒకరోజు బాధపడితే మనం వారికి చేసే మేలు ఏమిటి.,no
19216,2019 ఆర్థిక సంవత్సరంలో బ్యాంక్‌ డిపాజిట్‌ వ_x005F_x007f_ద్ధి 10 శాతం పెరిగింది,no
24248,మంత్రి వెల్లంపల్లి శ్రీనివాస్ వీఐపీ క్యూలైన్‌లో కుటుంబసమేతంగా శ్రీవారిని దర్శించుకున్నారు,no
23168,అప్పుడు చెప్పాడు,no
26795,దర్శకుడు ప్రశాంత్ వర్మ మాట్లాడుతూ ఇండో-పాక్ క్రికెట్ మ్యాచ్ మాదిరి కల్కి కూడా ఆడియన్స్‌ని ఉత్కంఠకు గురి చేయడం ఖాయం,no
24884,"పార్టీ నేత‌లు వారించిన‌ట్లుగా తెలుస్తోంది.
",no
30549,"ప్రస్తుతం ప్రముఖ సింగర్‌లలో ఒకడిగా ఉన్న కృష్ణ చైతన్య ఘంటశాల పాత్రలోనూ, ఆయన భార్య, ప్రముఖ యాంకర్‌ మృదుల కీలకమైన ఘంటశాల గారి భార్య పాత్రలోనూ కనిపించనుంది.",no
32120,పూజా హెగ్డే గ్లామర్‌ తోడవుతుంది.,no
22894,మద్దతుగా గోషామహల్ ఎమ్మెల్యే రాజాసింగ్ చేరుకోవడంతో పరిస్థితి మరింత ఉద్రిక్తంగా మారింది,no
10369,భారత్‌ ప్రభుత్వం తాజా హామీ ఇవ్వడంతో తాత్కాలిక నిషేధాన్ని ఎత్తివేస్తున్నట్లు ఐఓసి గురువారం ప్రకటించింది,no
31021,మరో రెండు రోజుల్లో ఈ చిత్రానికి సంబంధించిన ఫస్ట్‌ షెడ్యూల్‌ పూర్తికానుందని సమాచారం.,no
9476,మాస్ట్రో చెస్‌ అకాడమీ ఆధ్వర్యంలో నిర్వహించిన ఈ ఛాంపియన్‌షిప్‌లో 9 రౌండ్ల నుంచి 8 పాయింట్లు సాధించిన సాయి అగ్రస్థానంలో నిలిచాడు,no
2794,"మిక్స్‌డ్‌ డబుల్స్‌లో ప్రణవ్‌ జెర్రీ చోప్రా-సిక్కి రెడ్డి ఐర్లాండ్‌ జోడీపై 22-20, 24-22 తేడాతో విజయం సాధించారు.",no
34784,"వీటిపై జీవిత రాజశేఖర్‌ స్పందించారు.
",no
14686,"శనివారం రాత్రి గుర్తుతెలియని వ్యక్తులు విగ్రహం తలను తొలగించారు.
",no
22189,తెలంగాణలో నిరంకుశ పాలనను తిరస్కరిస్తూ ప్రజాస్వామ్య పరిరక్షణకు ఉద్యమాలు చేయాల్సిన అవసరం ఉందని ఆయన నొక్కి చెప్పారు,no
16666,"ఎన్నికల సమయంలో  రాజకీయ పార్టీల నేతలు  బీసీల ఓట్ల కోసం జయహో బీసీ, బీసీ అధ్యయన కమిటీలు, సామాజిక న్యాయం అంటూ నినాదాలు చేస్తూ ఒకరికి ఒకరు పోటీపడి మరీ ఊకదంపుడు ఉపన్యాలు చేస్తుంటారని తీవ్ర స్థాయిలో విమర్శించారు.
",no
16850,"ప్రధాని మోడీయే మరొకసారి ప్రధాని పదవి చేపట్టనున్నట్లు ఎగ్జిట్‌ పోల్స్‌ వెల్లడించిన నేపథ్యంలో మోడీకి నషీద్‌ అభినందనలు తెలిపారు.
",no
15985,"భారీ మెజార్టీతో ఏపీలో అధికారంలోకి వచ్చిన వైసీపీ అధ్యక్షుడు జగన్ కేబినెట్ రూపొందింది.
",no
30965,రీసెంట్‌గా తన ఇద్దరు పిల్లలతో ఆడుకుంటూ ఉన్న ఒక హ్యాపి మూమెంట్‌ వీడియోను బన్నీ షేర్‌ చేసుకున్నాడు.,no
23881,ఇది ప్ర‌జాస్వామ్యానికి గొడ్డ‌లి పెట్టు అని అన్నారు,no
8332,"జమైకాకు చెందిన గేల్‌ బ్రిజ్‌టౌన్‌లో జమైకాకు బార్బడోస్‌కు మధ్య జరిగిన లిస్ట్‌-ఏ వన్డేనే తన ఆఖరి మ్యాచ్‌ అని ప్రకటించాడు.
",no
3654,ధోనీ(1) నిరాశ పరిచాడు.,no
20472,ఇప్పటివరకు 300 కిలోల పసిడి రవాణా,no
31859,నవంబర్‌ 2న షారుక్‌ పుట్టినరోజు సందర్భంగా ట్రైలర్‌ విడుదల చేయబోతున్నారు.,no
29809,ఐశ్వర్య ఆఫర్‌ తాప్సీకి!.,no
31498,ప్రముఖ నిర్మాణ సంస్థలు జయ జీవిత కథకు వెండితెర రూపం ఇచ్చేందుకు ముందుకు వస్తున్నారు.,no
11203,"నూతన మంత్రివర్గాన్ని ఏర్పాటు చేయబోతున్న శుభ సందర్భంలో మీకు నా హృదయపూర్వక శుభాకాంక్షలు.
",no
11011,"ఎలాంటి నిర్ణ‌యం తీసుకుంటారో చూడాలి మ‌రి.
",no
7516,"సైనా, సౌరవ్‌ కూడా.
",no
15583,"ఈకోర్సుల్లో ప్ర‌వేశానికి ద‌ర‌ఖాస్తు చేసే అభ్య‌ర్ధుల వ‌య‌స్సు 25 సంవ‌త్స‌రాల లోపు వుండాల‌న్నారు.
",no
12430,"ఆంధ్రప్రదేశ్ రాష్ట్రంలో ఇంటర్మీడియట్‌ సప్లిమెంటరీ పరీక్షలు ప్రారంభమయ్యాయి.
",no
31001,నిజానికి ఇలాంటి ఫ్యామిలీ బేస్డ్‌ లవ్‌ స్టోరీస్‌కి అక్కడ మంచి ఆదరణ ఉంటుంది.,no
32308,నటుడిగా మాత్రమే కాకుండా గాయకుడి గానూ తెలుగు ప్రేక్షకులను అలరించిన కథా నాయకుడు సిద్ధార్థ్‌.,no
12926,"హైదరాబాద్‌లోని గాంధీ భవన్‌లో సాయంత్రం 4 గంటలకు టీపీసీసీ చీఫ్‌ ఉత్తమ్‌కుమార్‌రెడ్డి అధ్యక్షతన డీసీసీ అధ్యక్షులు, పార్లమెంటు నియోజకవర్గ అభ్యర్థులతో సమావేశం జరగనుంది.
",no
19305,"చైనా, భారత్‌ నుంచే అధికం",no
21506,18 నుండి 25 వరకు ఈ కార్యక్రమం కొనసాగుతుందన్నారు,no
7397,"చివరి నాలుగు ఓవర్లలో కథ పూర్తిగా మారిపోయింది.
",no
21482,ఒక్కో వ్యక్తికి కిలో ఒక రూపాయి ధరకే నెలకు ఆరుకిలోల బియ్యం ఇస్తున్నామన్నారు,no
15658,"ఎగిసిపడుతున్న మంటలకు బీరు సీసాలు పేలిపోగా, మద్యం బాటిళ్లు పగిలి పోయాయి.
",no
17243,"జెట్ ఎయిర్‌వేస్ సంస్థ డిప్యూటీ సీఈవో, చీఫ్ ఫైనాన్షియ‌ల్ ఆఫీస‌ర్ అమిత్ అగ‌ర్వాల్ ఇవాళ రాజీనామా చేశారు.
",no
22934,సో మీడియా భజన విషయంలో బీ కేర్ ఫుల్ జగన్,no
593,అయితే సన్‌రైజర్స్‌ను ఢిల్లీ తక్కువ అంచనా వేయడానికి లేదు.,no
7925,"దక్షిణాఫ్రికా వేదికగా 2007లో జరిగిన టీ20 వరల్డ్‌ కప్‌లో టీమిండియా ఛాంపియన్‌గా నిలిచిన సంగతి తెలిసిందే.
",no
25556,తానా వాలీబాల్‌ టోర్నమెంట్‌ను జూన్‌15న ఏర్పాటు చేసింది,no
11025,"నామమాత్రపు ధరకే రుచికరమైన ఆహారం అందజేయాలనే సంకల్పంతో టీడీపీ ప్రభుత్వం గతేడాది జులైలో వీటిని అట్టహాసంగా ప్రారంభించింది.
",no
23219,"అప్పుడు వాడన్న మాట‌ ,గుప్పెడు మూసినంత వరకే ఏదయినా తెరిచిన తరువాత ఎవడయినా కట్టాల్సిందె",no
34222,సింగర్‌ దీపు మాట్లాడుతూ…”ఈ చిత్రం ద్వారా మా బ్రదర్‌ ప్రవీణ్‌ మ్యూజిక్‌ డైరక్టర్‌గా పరిచయం అవుతున్నారు.,no
30156,ఆ తర్వాత జంతువులకు ట్రైనింగ్‌ ఉంటుంది.,no
4158,అలసట అనే పదానికి అర్థం తెలియని తత్వం.,no
14069,"సోమవారం రాత్రి లక్నో నుంచి చార్టెడ్‌ ఫ్లైట్‌లో ములాయంను గురుగ్రామ్‌కు తరలించి చికిత్స అందిస్తున్నారు.
",no
15649,"దాని నుంచి అత‌ను మ‌ళ్లీ పైకి రావాలి.
",no
13099,"ఏపీ ముఖ్యమంత్రి చంద్రబాబు నాయుడిపై వైసీపీ జాతీయ ప్రధాన కార్యదర్శి విజయసాయిరెడ్డి తీవ్రస్థాయిలో మండిపడ్డారు.
",yes
32585,బ వెంకటేష్‌ కథను బాగా నమ్మారు.,no
8989,"హ్యాండ్స్‌కాంబ్‌ క్యాచ్‌ అందుకున్నాడు.
",no
28679,"ముంబైలో ఉండే పోలీస్ ఆఫీసర్ నారాయణ్‌ పసారి(ఫెరోజ్‌ అబ్బాసీ) ముంబైలో ఎన్‌కౌంటర్‌ స్పెషలిస్ట్‌.
",no
1118,"సొంత మైదానం, ప్రేక్షకుల మధ్య భారీ గెలుపు సాధించి, తిరిగి విజయాల బాట పట్టాలని ఇంగ్లండ్‌ చూస్తుండగా.",no
19613,"టైటాన్‌ కనుక సక్సెస్‌ అయితే, ప్రపంచవ్యాప్తంగా తన ఏకఛత్రాధి పత్యానికి ఎక్కడ గండిపడుతోందనన్న ఆందోళన గూగుల్‌లో మొదలైంది",no
15390,"తిరుపతిలోని పరిపాలనాభవనంలో ఉన్న ఈవో కార్యాలయంలో టిటిడి ఈవో శ్రీ అనిల్‌ కుమార్‌ సింఘాల్‌కు ఆ సంస్థ మేనేజర్‌ శ్రీ ఎం.
",no
28682,"అయితే అదే సమయంలో నారాయణ ఓ ఫేక్‌ ఎన్‌కౌంటర్‌ కేసులో చిక్కుకుంటాడు.
",no
30680,"ఎస్‌బీఐ, హెచ్‌డీఎఫ్‌సీ బ్యాంక్‌ తర్వాతి స్థానం బీవోబీదే.",no
8672,"ఇక, మయాంక అగర్వాల్‌ ఈ ఏడాది దేశవాళీలో పరుగుల వరద పారించాడు.
",no
33677,కావేరీ జల వివాదానికి సంబంధించి కర్ణాటకకు వ్యతిరేకంగా రజనీ వ్యవహరించిన నేపథ్యంలో ఈ చిత్రాన్ని తమ రాష్ట్రంలో విడుదల చేయనిచ్చేది లేదని కర్ణాటకలోని పలు సంఘాలు స్పష్టం చేస్తున్నాయి.,no
20892,"లారీని, దానికి ఎస్కార్టుగా ఉన్న కారును స్వాధీనం చేసుకున్నారు",no
21054,"హాజీపూర్‌కే చెందిన మనీషా, మైసిరెడ్డిపల్లి వాసి కల్పన హత్యకేసుల్లో మరిన్ని వివరాలు సేకరించేందుకు నిందితుడిని తిరిగి కస్టడీకి అప్పగించాలని పోలీసులు కోర్టును ఆశ్రయించారు",no
5902,"బంతి బీట్‌ అయ్యాక అతను పరుగందుకున్నాడు.
",no
3978,సిరీస్‌ గురించి మాట్లాడుతూ ‘తొలి రెండు మ్యాచులో అనుకున్న విజయాలు సాధించాం.,no
6511,"తర్వాత హాండ్స్‌కాంబ్‌, షాన్‌ మార్ష్‌ ఇన్నింగ్స్‌ చక్కదిద్దే ప్రయత్నం చేశారు.
",no
7473,"జట్టు స్కోరు 62 పరుగుల వద్ద ఈ జోడీ అరుదైన రికార్డును సొంతం చేసుకుంది.
",no
27719,రెండు వందలకి పైగా సీట్లు గెలిచిన నాయకుడిని పదవీచ్యుతుణ్ణి చేయడాన్ని అంత సింపుల్‌గా తీసేయడం నిరాశ పరుస్తుంది,no
9868,సర్వీసెస్‌ చేతిలో చిత్తు,no
9466,"ఎంవీఎస్‌ఆర్‌: 81/8 పృథ్వీ 34, శ్రీకర్‌ 3/21, హిందీ మహావిద్యాలయ: 82/4 షేక్‌ 34, శ్రీకర్‌ 26, రాహుల్‌ 2/5",no
15722,"బీజేపీ ఏపీకి హోదా ఇవ్వలేమని ప్రకటించి మోసం చేసిందన్నారు.
",no
30362,అలా నవ్విస్తూనే ఉంది.,no
657,అందుకు అనుకూలంగా హెస్సన్‌కు తన సొంత టీమ్‌ను తయారు చేసుకునే అవకాశం ఇవ్వనుంది.,no
22484,కాంగ్రెస్ పార్టీకి చెందిన ముగ్గురు సభ్యులు గైర్హాజరయ్యారు,no
34918,"కాని ఇందులో హీరొయిన్‌ తనే కాబట్టి తనకే పూర్తి స్కోప్‌ ఉంటుంది.
",no
12934,"ఉత్కంఠ భరితంగా సాగిన పోరులో.
",no
17112,"రేపు అసెంబ్లీలో ఉభయసభలను ఉద్దేశించి మాట్లాడేందుకు ఈ మధ్యాహ్నమే విజయవాడకు వచ్చిన గవర్నర్ ను సీఎం జగన్ మర్యాదపూర్వకంగానే కలిసినట్లుగా సీఎం చెప్పుకొచ్చారు.
",no
16617,"పవిత్ర రంజాన్ మాసంలో చేసే ప్రతి దానధర్మాలకు 70రెట్లు అధికంగా పుణ్యం లభిస్తుందని తెలిపారు.
",no
17290,"ఈసందర్భంగా అమిత్ షా మాట్లాడుతూ… 2014లో దేశ ప్రజలు చారిత్రాత్మక తీర్పు ఇచ్చారని, ప్రజల ఆశీస్సులతో ఐదేళ్ల పూర్తికాలం కాంగ్రెస్ యేతర ప్రభుత్వం ఏర్పాటైందన్నారు.
",no
28740,"గత చిత్రాలతో పోలిస్తే నటనలో మంచి పరిణతి కనబరిచాడు.
",no
20029,రష్యాకు చెందిన బీటీబీ క్యాపిటల్‌ ఆఫ్‌ రష్యాకు రూ 511 కోట్లు చెల్లించాలి,no
17156,"ఇప్పటికే పలువురు సినీ, రాజకీయ ప్రముఖులు ఆయనను పరామర్శించారు.
",no
6874,"అయితే ఓడిన అనంతరం జరిగిన మ్యాచుల్లో భారత్‌ తిరిగి బలంగా పుంజుకోవడం వారి ఆత్వవిశ్వాసాన్ని తెలియజేస్తోంది.
",no
30715,రంగమ్మా మంగమ్మా పాటతో సమంత అందరినీ మెప్పిస్తే ఈ బుడతడు అదే పాటతో సమంతనే మెప్పించేశాడు.,no
28667,"తొలి పది నిమిషాలు కాస్త నెమ్మదిగా మొదలు పెట్టినా.
",no
6699,"బిగ్‌బాష్‌ లీగ్‌లో స్మ_x005F_x007f_తి మంధాన.
",no
31400,ప్రస్తుతం రణబీర్‌ అలియాభట్‌తో డేట్‌లో ఉంటున్నాడు.,no
34577,‘ప్రతీ తల్లిదండ్రులకు వచ్చే పీడకల ఇది.,no
18130,"బ్రహ్మోత్సవాల ముందు కోయిల్‌ ఆళ్వార్‌ తిరుమంజనం నిర్వహించడం ఆనవాయితీ.
",no
29970,అప్పటికి స్క్రిప్టు పరంగానూ పూర్తి స్థాయి రూపు రేఖలు వచ్చేస్తుందట.,no
32251,జులై 30న ‘సైరా’ సినిమా సెట్‌లో తీసిన ఫొటోలు లీక్‌ అయ్యాయి.,no
28818,"హీరోయిన్‌గా పూజా హెగ్డే ఆకట్టుకుంది.
",no
14122,"ఆ ప్యాలెస్‌లో సిక్కు మ‌త వ్య‌వ‌స్థాప‌కుడు గురునాన‌క్‌తో పాటు కొంద‌రు హిందూ రాజుల చిత్రాప‌టాలు ఉన్నాయి.
",no
25846,చిరంజీవి బాల‌య్య ఫ్యాన్స్ మ‌ధ్య‌యితే లెక్క‌లేన్ని సార్లు గొడ‌వ‌లు జ‌రిగాయి,no
30599,ఇప్పటికీ వీరి గురించి వదంతులు వస్తూనే ఉన్నాయి.,yes
20712,"అనంతర పరిణామాల్లో డిల్లీ వెళ్లి కలిసిన బాధితుడిని నోయిడాలోని హోటల్‌లో వారం రోజులుంచడం,  వైద్యపరీక్షలయ్యాక తిరిగి పంపించేయడం జరిగిపోయాయి",no
21187,ఉదయం నుంచి సాయంత్రం వరకూ కనీసం ఆరు సార్లు ప్రకంపనలు వచ్చినట్లు జిల్లా అధికారులు తెలిపారు,no
21532,"2018లో ఈ అంశంపై కార్మికులు సమ్మె చేస్తున్నపుడు వారందరికీ భరోసా ఇచ్చి సమ్మె విరమింపచేశారని, వేతనాలకు గ్యారంటీ ఇస్తామని చెప్పారని అయితే హామీ ఇచ్చి 11 నెలలు గడిచినా ఇంత వరకూ ముఖ్యమంత్రి హామీ ఇచ్చిన మేరకు జీవోలు మాత్రం జారీ కాలేదని అన్నారు",no
27153,సీనియర్ స్టార్ హీరో నాగార్జున నటిస్తున్న సినిమాలో కీర్తిసురేష్ కీలక పాత్ర చేస్తోందట,no
19548,యూఎస్‌ ఇండియా బిజినెస్‌ కౌన్సిల్‌ ఆధ్వర్యంలో బిజ్‌ ఎరీనా కార్యక్రమం నిర్వహించారు,no
5090,"సైనా తైజూ చేతిలో వరుసగా 12 సార్లు ఓడిపోయింది.
",no
14180,"అటువంటి వారి పట్ల కఠినంగా వ్యవహరించాలని, అక్రమాలు జరిగితే జైలుకు పంపడానికి కూడా వెనుకడుగు వేయొద్దని సీఎం అధికారులకు తెలిపారు.
",no
33097,మొత్తం మూడున్నర గంటలు హాల్లోనే ఉండాలి.,no
31377,తొలి సినిమా బ్లాక్‌ బస్టర్‌ విజయం సాధించ డంతో రెండో సినిమా విషయంలో తీవ్ర ఒత్తిడిని ఎదుర్కోవాల్సి వచ్చిందని కార్తికేయ ఓ ఇంటర్వ్యూలో అన్నారు.,no
20857,దీంతో వాహనంతోపాటు వారిద్దరూ రహదారి పక్కన పడిపోయారు,no
33895,ఇదే మొదటిసారి తమన్‌ సంగీతం అందిస్తున్నాడు.,no
13160,"ఈ ఉత్స‌వాల్లో అర్చ‌క ప‌రిచార‌కులు, భ‌క్తుల వ‌ల్ల తెలిసీ తెలియ‌క జ‌రిగిన పొర‌బాట్ల‌కు ప్రాయ‌శ్చిత్తంగా పుష్ప‌యాగం నిర్వ‌హిస్తారు.
",no
3086,ఇందులో మానవ తప్పిదాలూ ఉంటాయి.,no
32260,ఈ సినిమాకు ముందు అహం బ్రహ్మాస్మి అనే టైటిల్‌ పరిశీలనలో ఉందనే మాట వినిపించింది.,no
1490,ఎక్కువగా ఫ్రంట్‌ ఫుట్‌ మీద ఆడే అవకాశం చెన్నై బౌలర్లు మాకు ఇవ్వలేదు’ అని కోహ్లి వివరించాడు.,no
15644,"మిలినీయం పార్క్ వ‌ద్ద అత‌ను ఆ మ్యాజిక్ చేయాల‌నుకున్నాడు.
",no
13693,"మంత్రి పదవి దక్కకపోవడంతో కొంత నిరుత్సాహానికి గురైన నగరి ఎమ్మెల్యే రోజాకు ముఖ్యమంత్రి జగన్ తీపి కబురు అందించారు.
",no
